team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
Portland State University,10007648,OR,NONE,NONE,NONE,NONE
Post University,625,CT,Division 2,2,NONE,NONE
PostGrad-CSUB,10006688,CA,NONE,NONE,NONE,NONE
Princeton University,477,NJ,Division 1,1,Ivy,ivy
Principia College,478,IL,Division 3,3,Liberal Arts,libarts
Providence College,479,RI,Division 1,1,Big East,bigeast
Purchase College,8479,NY,Division 3,3,Skyline,skyline
Purdue University,27,IN,Division 1,1,Big Ten,big10
Queens College (New York),480,NY,Division 2,2,Metro,metro
Queens University ,10003222,ON,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Queens University of Charlotte,9415,NC,Division 2,2,Bluegrass,bluegrass
Queensborough Community College,651,NY,NJCAA,5,NONE,NONE
Quincy University,10005797,IL,Division 2,2,GLVC,glvc
Radford University,518,VA,NONE,NONE,NONE,NONE
Ramapo College of New Jersey,538,NJ,Division 3,3,Metro,metro
Rancho Santiago College,10009615,CA,NONE,NONE,NONE,NONE
Randolph College,609,VA,Division 3,3,ODAC,odac
Randolph-Macon College,26,VA,Division 3,3,ODAC,odac
Regis College (Massachusetts),481,MA,Division 3,3,GNAC,gnac
Regis University (CO),10002671,CO,NONE,NONE,NONE,NONE
Rensselaer Polytechnic Institute,45,NY,Division 3,3,Liberty,liberty
Rhode Island College,10003261,RI,Division 3,3,Little East,little-east
Rhodes College,540,TN,Division 3,3,SAA,saa
Rice University,483,TX,Division 1,1,C-USA,c-usa
Rider University,484,NJ,Division 1,1,MAAC,maac
Rio Hondo Community College,10009177,CA,NONE,NONE,NONE,NONE
Ripon College,485,WI,Division 3,3,Midwest,midwest
Riverside Community College,598,CA,CCCAA,6,NONE,NONE
Roanoke College,10009616,VA,Division 3,3,ODAC,odac
Robert Morris University,629,IL,NONE,NONE,NONE,NONE
Roberts Wesleyan University,10010647,NY,Division 2,2,Metro,metro
Rochester Institute of Technology,30,NY,Division 3,3,Liberty,liberty
Rockford College,10007649,IL,NONE,NONE,NONE,NONE
Roger Williams University,560,RI,Division 3,3,NEISDA,neisda
Rollins College,486,FL,Division 2,2,Sunshine,ssc
Rose State College,10009478,OK,NJCAA,5,NONE,NONE
Rose-Hulman Institute of Technology,502,IN,Division 3,3,Heartland,hcac
Rowan University,488,NJ,Division 3,3,Metro,metro
Rutgers University,43,NJ,Division 1,1,Big Ten,big10
Sacramento City College,599,CA,CCCAA,6,NONE,NONE
Sacramento State University,10002672,CO,NONE,NONE,NONE,NONE
Sacred Heart University,475,CT,Division 1,1,Northeast,nec
Saddleback College,604,CA,CCCAA,6,NONE,NONE
Saginaw Valley State University,10004316,MI,Division 2,2,GLIAC,gliac
Saint Ambrose University,10009914,IA,NAIA,4,Chicagoland,chicagoland
Saint Andrews University,547,NC,NAIA,4,Appalachian Athletic,App
Saint Catharine College,10001911,KY,NONE,NONE,NONE,NONE
Saint Catherine University,458,MN,Division 3,3,MIAC,miac
Saint Cloud State University,96,MN,Division 2,2,GLIAC,gliac
Saint Francis University (Pennsylvania),474,PA,Division 1,1,ECAC,ecac
Saint Gregory's University,10006393,OK,NAIA,4,Independent,independen
Saint Johns (NY),10007650,NY,NONE,NONE,NONE,NONE
Saint Johns University,461,MN,Division 3,3,MIAC,miac
Saint Joseph College (Connecticut),463,CT,Division 3,3,GNAC,gnac
Saint Joseph College (Long Island),10003381,NY,Division 3,3,Skyline,skyline
Saint Joseph's College (Brooklyn),562,NY,Division 3,3,Skyline,skyline
Saint Josephs (IN),10007651,IN,NONE,NONE,NONE,NONE
Saint Josephs College (Maine),620,ME,Division 3,3,GNAC,gnac
Saint Lawrence University,464,NY,Division 3,3,Liberty,liberty
Saint Leo University,524,FL,Division 2,2,Sunshine,ssc
Saint Louis University,491,MO,Division 1,1,Atlantic 10,a-10
Saint Mary's College (CA),10009635,CA,NONE,NONE,NONE,NONE
Saint Marys College (Indiana),492,IN,Division 3,3,MIAA,miaa
Saint Marys College of Maryland,465,MD,Division 3,3,Atlantic East,aec
Saint Marys University of Minnesota,466,MN,Division 3,3,MIAC,miac
Saint Michaels College,467,VT,Division 2,2,Northeast 10,ne10
Saint Peters University,468,NJ,Division 1,1,MAAC,maac
Saint Petersburg Junior College,10009617,FL,NONE,NONE,NONE,NONE
Saint Thomas University (Florida),10023296,FL,NAIA,4,Sun Coast,SCC
Saint Vincent College,8474,PA,Division 3,3,Presidents,presidents
Salem College,10020619,NC,Division 3,3,ODAC,odac
Salem State College,494,MA,Bluegrass,bluegrass,NONE,NONE
Salem University,61,WV,Division 2,2,Bluegrass,bluegrass
Salisbury University,495,MD,Division 3,3,Metro,metro
Sample University,10002187,IL,Division 3,3,Independent,independen
San Diego Mesa College,603,CA,CCCAA,6,NONE,NONE
San Diego Miramar College,10009178,CA,NONE,NONE,NONE,NONE
San Diego State University,496,CA,Division 1,1,Mountain West,mwc
San Francisco State University,498,CA,NONE,NONE,NONE,NONE
San Joaquin Delta College,602,CA,CCCAA,6,NONE,NONE
San Jose State University,499,CA,Division 1,1,Mountain West,mwc
Santa Ana College,601,CA,CCCAA,6,NONE,NONE
Santa Barbara City College,10009180,CA,NONE,NONE,NONE,NONE
Santa Clara University,10002674,CA,NONE,NONE,NONE,NONE
Santa Monica College,557,CA,CCCAA,6,NONE,NONE
Santa Rosa Junior College,600,CA,CCCAA,6,NONE,NONE
Sarah Lawrence College,10002012,NY,Division 3,3,Metro,metro
Savannah College of Art and Design,526,GA,NAIA,4,Bluegrass,bluegrass
Schoolcraft College,10009618,MI,NONE,NONE,NONE,NONE
Seattle University,90,WA,Division 1,1,WAC,wac
Seton Hall University,462,NJ,Division 1,1,Big East,bigeast
Shasta College,606,CA,CCCAA,6,NONE,NONE
Shawnee State University,10023753,OH,NAIA,4,NONE,NONE
Shepherd College,10009619,WV,NONE,NONE,NONE,NONE
Shippensburg University,93,PA,Division 2,2,PSAC,psac
Siena College,489,NY,Division 1,1,MAAC,maac
Sierra College,607,CA,CCCAA,6,NONE,NONE
Simmons University,487,MA,Division 3,3,GNAC,gnac
Simon Fraser University,525,BC,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Simpson College,8,IA,NONE,NONE,NONE,NONE
Skidmore College,449,NY,Division 3,3,Liberty,liberty
Slippery Rock University,62,PA,NONE,NONE,NONE,NONE
Smith College,450,MA,Division 3,3,NEWMAC,newmac
Soka University,362,CA,NAIA,4,PCSC,paccoast
Solano Community College,608,CA,CCCAA,6,NONE,NONE
South Dakota State University,451,SD,Division 1,1,Summit,summit
South Georgia College,10000002,GA,NJCAA,5,Sun Coast,SCC
Southeast Missouri State,10007653,MO,NONE,NONE,NONE,NONE
Southern Arkansas University,10009620,AR,NONE,NONE,NONE,NONE
Southern Connecticut State University,81,CT,Division 2,2,Northeast 10,ne10
Southern Illinois University,453,IL,Division 1,1,Mid-American,mac
Southern Methodist University,75,TX,Division 1,1,American Athletic,american
Southern Oregon,10002675,OR,NONE,NONE,NONE,NONE
Southern Oregon State University,10009621,OR,NONE,NONE,NONE,NONE
Southern Virginia University,10021606,VA,Division 3,3,Capital,cac
Southern Wesleyan University,10013107,SC,NONE,NONE,NONE,NONE
Southwest Minnesota State University,10009663,MN,Division 2,2,Northern Sun,nsic
Southwestern College (CA),10009181,CA,NONE,NONE,NONE,NONE
Southwestern Oregon Community College,10006392,OR,NJCAA,5,Independent,independen
Southwestern University,455,TX,Division 3,3,SCAC,scac
Spring Hill College,345,AL,NONE,NONE,NONE,NONE
Springfield College,24,MA,Division 3,3,NEWMAC,newmac
St Norbert College,343,WI,Midwest,midwest,NONE,NONE
St. Bonaventure University,457,NY,Division 1,1,Atlantic 10,a-10
St. Francis College Brooklyn  (New York),459,NY,Division 1,1,Metro,metro
St. Olaf College,12,MN,Division 3,3,MIAC,miac
